x,MSE_PINN,MSE_MLE
100000, 0.029150881298913783, 0.32818175526664495
200000,0.007393568,0.09707379
300000,0.003319405, 0.047788964740262216
400000,0.001953164, 0.027973265746941603
500000,0.001184076, 0.018317819176141094
600000,0.000854849,0.012874012
700000,0.000587183,0.010540334
800000,0.00046887,0.00748326
900000,0.000424014,0.006171161
1000000,0.000274657,0.005064184
2000000,7.37817E-05,0.001378854
3000000,3.55441E-05,0.000651673
4000000,1.95229E-05,0.000413049
5000000,1.3986E-05,0.000250946
6000000,8.33983E-06,0.000193508
7000000,7.00463E-06,0.000147099
8000000,4.87482E-06,0.000106254
9000000,3.76408E-06,9.50645E-05
10000000,3.15957E-06,8.05012E-05
