samples, mean, max,min, y
6000,0.273120753,0.380153426,0.196501203,0.278185323
7500,0.243853575,0.349765453,0.171004467,0.260277119
9000,0.219516416,0.327536494,0.159680247,0.242908448
10500,0.209248617,0.314878932,0.14790059,0.236494072
12000,0.200385194,0.299765815,0.137877459,0.229378287
13500,0.195932717,0.293098658,0.13324581,0.220517329
15000,0.181057761,0.273773899,0.121824361,0.212795056
16500,0.176616283,0.276916106,0.128866615,0.206065614
18000,0.179236999,0.268823929,0.116079851,0.200769864
19500,0.166485269,0.257841555,0.113264889,0.19649025
21000,0.164883969,0.250761137,0.114034019,0.191868204
22500,0.156094238,0.239386335,0.112413897,0.187453851
24000,0.155639208,0.237146781,0.117007753,0.183547721
25500,0.151609877,0.236371818,0.114701778,0.185501524
27000,0.14649748,0.222660414,0.110831498,0.17606626
28500,0.143976044,0.213582872,0.106301303,0.172645694
30000,0.142714287,0.21568574,0.101596132,0.170595152
31500,0.141632635,0.213545086,0.099933673,0.169298287
33000,0.139318124,0.201340296,0.102071342,0.16671865
34500,0.133316555,0.200948822,0.098992186,0.164095973
36000,0.132672401,0.193029458,0.094434934,0.161614807
37500,0.130582268,0.189401106,0.093396411,0.159533018
39000,0.1277062,0.186697828,0.09086587,0.156990213
40500,0.123875639,0.182065642,0.088880278,0.15497004
42000,0.123875639,0.176854716,0.088842937,0.152899135
43500,0.119360088,0.180478063,0.090081505,0.151708752
45000,0.119622667,0.174122435,0.087057367,0.150499816
46500,0.118144095,0.17406853,0.085995308,0.148950062
48000,0.117824884,0.166036666,0.08034318,0.147702646
49500,0.11404663,0.166304947,0.082154404,0.145626922
51000,0.110503526,0.168072381,0.079850719,0.144036039
52500,0.109467301,0.161223879,0.077088161,0.142408001
54000,0.116193212,0.155024279,0.077250297,0.14089692
55500,0.104224768,0.155987255,0.072817477,0.139643181
57000,0.101369445,0.150647267,0.073297356,0.137804381
58500,0.10094884,0.154661277,0.071059494,0.135932353
60000,0.098681787,0.14503068,0.068275658,0.133822246
61500,0.096987619,0.135055603,0.067053063,0.132327123
63000,0.096987619,0.139549406,0.068340619,0.130510547
64500,0.096539419,0.127159442,0.063699356,0.128860037
66000,0.094539419,0.131576617,0.064259689,0.127775808
67500,0.093043863,0.131288844,0.062164256,0.125968481
69000,0.093167412,0.130848234,0.059930028,0.124561105
70500,0.091586143,0.128201425,0.060789713,0.123684387
72000,0.090920146,0.131967134,0.060087962,0.122221822
73500,0.088953038,0.127847497,0.0603984,0.120515327
75000,0.089597486,0.122123796,0.058594519,0.118795011
76500,0.088275615,0.12425704,0.060259638,0.117317442
78000,0.085034551,0.121321566,0.057222924,0.11573289
79500,0.085921787,0.113741841,0.053257729,0.11436888
81000,0.084921787,0.118526197,0.055233437,0.113502444
82500,0.083576527,0.111895484,0.053034405,0.111911782
84000,0.083367262,0.11203911,0.050346207,0.11055631
85500,0.082254526,0.106546088,0.050379623,0.109125011
87000,0.081454526,0.110093707,0.053375646,0.108464287
88500,0.081030205,0.106999479,0.048712017,0.107372903
90000,0.079438542,0.107988458,0.049374734,0.106243395
91500,0.076574995,0.105577323,0.051191673,0.104693628
93000,0.07461235,0.103347941,0.050764373,0.103519844
94500,0.072456025,0.10082612,0.048483086,0.102642051
