x,PINN_s1,PINN_s2,PINN_s4,MLE_s1,MLE_s2,MLE_s4
100000,0.087493155,0.093778396, 0.11684950746978588, 0.2771953418906806,0.868764993, 2.6435524324995616
200000,0.020273855, 0.022905167578271074,0.029019412,0.096361916,0.289953129, 0.9519959846209362
300000, 0.017590713613778986, 0.011674767770978683,0.01369592,0.052115078,0.159242342, 0.5311779700050642
400000,0.006289337,0.006189192,0.007652074, 0.021852231781127086,0.100900001, 0.2884578116891158
500000,0.003919912,0.004027597,0.004722181,0.014905177,0.07016843, 0.21363082772038966
600000,0.002925597,0.002295487,0.003878979, 0.011805869865407432,0.05518655, 0.15486454077013384
700000,0.00150386,0.001986042,0.002500014,0.009887168,0.03851982, 0.12361699703841596
800000,0.001734664,0.001751658,0.002079716,0.00832113,0.03401563, 0.11456540585044835
900000,0.001614996,0.001114395,0.001563266,0.006914136,0.02561965,0.079974079
1000000,0.001140314,0.00101024,0.001280885,0.004443312,0.023356415,0.071944216
2000000,0.000229466,0.000255605,0.000346616,0.001290317,0.00801576,0.024684318
3000000,9.1929E-05,0.00011039,0.000138569,0.000856253,0.00441468, 0.014554498863218919
4000000,5.74731E-05,7.20697E-05,7.43468E-05,0.000576694,0.00261924,0.009260456
5000000,4.10221E-05,4.11199E-05,4.93919E-05,0.000431019,0.00191267,0.007227447
6000000,2.90982E-05,3.11252E-05,3.45796E-05,0.000344793,0.00167045,0.005414687
7000000,2.05942E-05,1.93855E-05,2.55227E-05,0.000282815,0.00099697,0.004337876
8000000,1.55513E-05,1.73115E-05,1.99164E-05,0.000253423,0.00090431,0.003284177
9000000,1.22171E-05,1.46556E-05,1.6482E-05,0.000200517,0.00076668,0.0027622
10000000,1.06492E-05,1.06688E-05,1.37317E-05,0.00019993,0.00064863,0.00206711
