samples, mean, max,min, y
6000,0.264661836,0.383935072,0.151043053,0.257080525
7500,0.199474706,0.305498874,0.136042677,0.228836849
9000,0.175516017,0.253402216,0.111903848,0.201401714
10500,0.150058104,0.217101391,0.103222991,0.182942897
12000,0.135634712,0.195448598,0.093618432,0.168938809
13500,0.124010887,0.17869005,0.092918906,0.160612943
15000,0.113744564,0.167670183,0.085625956,0.155994361
16500,0.109885793,0.153864414,0.078666234,0.149115341
18000,0.101871226,0.14608485,0.071244748,0.144096904
19500,0.095979094,0.14045696,0.065445437,0.139648713
21000,0.093528806,0.135181877,0.067890058,0.135334261
22500,0.089541049,0.131346393,0.064565328,0.130470922
24000,0.086646737,0.130301485,0.059352101,0.125682753
25500,0.084674916,0.120980406,0.062202042,0.122929018
27000,0.079773516,0.114316578,0.056560153,0.118856194
28500,0.077855665,0.112980825,0.048660293,0.116250496
30000,0.076503774,0.10914442,0.049729624,0.114007064
31500,0.075681078,0.107939171,0.04958291,0.111091824
33000,0.075450451,0.105918651,0.052171695,0.10824827
34500,0.072784382,0.102345309,0.050961253,0.105236862
36000,0.068955274,0.099270516,0.049791018,0.103670292
37500,0.067660102,0.09584052,0.048591616,0.102271416
39000,0.066666822,0.09396254,0.048645286,0.100653266
40500,0.065133822,0.092557582,0.047670416,0.098902594
42000,0.064037131,0.090476214,0.047330351,0.097104138
43500,0.062371919,0.089104577,0.045966559,0.095637166
45000,0.061423357,0.087770831,0.04547225,0.093828691
46500,0.059374266,0.087594324,0.044980335,0.092623736
48000,0.059809604,0.087395468,0.044519753,0.09079909
49500,0.059752345,0.085928131,0.042575245,0.089495874
51000,0.056368574,0.081765154,0.039828523,0.088373392
52500,0.057574575,0.081138389,0.039001209,0.087246557
54000,0.057333934,0.081297928,0.038497339,0.086990067
55500,0.054275348,0.080384518,0.037535238,0.085280905
57000,0.054519965,0.079726908,0.036993212,0.084121281
58500,0.054466886,0.077593214,0.03601721,0.083565598
60000,0.053097064,0.077009679,0.035151883,0.082691989
61500,0.052363459,0.076392079,0.035569788,0.081322405
63000,0.051775138,0.074651199,0.035969879,0.080403219
64500,0.050895937,0.073711881,0.036525956,0.079326675
66000,0.049786168,0.072679297,0.036275991,0.078676877
67500,0.048821711,0.071919908,0.035405022,0.077426931
69000,0.047547527,0.070994208,0.034386525,0.076314634
70500,0.046584067,0.06852119,0.033620906,0.075623584
72000,0.045346929,0.065567733,0.033109594,0.074619902
73500,0.044833074,0.064302775,0.03157465,0.073799855
75000,0.04341983,0.064135968,0.032712627,0.072874237
76500,0.042337458,0.063780868,0.03121027,0.071550028
78000,0.041974746,0.062087032,0.02939269,0.070470037
79500,0.042402115,0.062116269,0.02963128,0.069399017
81000,0.041823743,0.061776362,0.029982093,0.06856389
82500,0.041036178,0.06044701,0.029688097,0.067649439
84000,0.039895825,0.059249093,0.029881508,0.066636242
85500,0.039364418,0.058823565,0.029208132,0.065936134
87000,0.039009441,0.057917683,0.028467549,0.065191719
88500,0.038441133,0.057555885,0.027953263,0.064511046
90000,0.038304707,0.05625339,0.027231233,0.063635524
91500,0.037485913,0.054431529,0.026829724,0.062922067
93000,0.036977,0.052882863,0.027321122,0.0623597
94500,0.036447768,0.051141926,0.027237865,0.061506879
